Driver_id	Customer_id	Pickup	Drop	Pick_time	Drop_time	Amount
TN1	12   a	v	3.000000	24.000000	3350.000000
TN2	3   e	c	5.000000	7.000000	500.000000
TN1	1   a	b	6.000000	7.000000	350.000000
TN2	2   a	d	6.000000	9.000000	650.000000
TN1	abc   d	a	9.000000	12.000000	650.000000
TN2	xyz   f	b	6.000000	10.000000	800.000000
TN1	asdf   f	c	7.000000	10.000000	650.000000
TN2	;lkj   a	d	4.000000	7.000000	650.000000
TN1	123   a	d	8.000000	11.000000	650.000000
TN2	12   d	b	9.000000	11.000000	500.000000
TN1	123   a	c	3.000000	5.000000	500.000000
TN2	1234   a	b	4.000000	5.000000	350.000000
TN2	1222   f	b	9.000000	9.000000	200.000000
TN1	x   a	b	8.000000	9.000000	350.000000
TN1	a   a	b	5.000000	11.000000	1100.000000
TN1	90   a	d	9.000000	12.000000	650.000000
TN1	qw   a	b	7.000000	8.000000	350.000000
TN2	qwe   a	c	8.000000	10.000000	575.000000
TN1	bc   a	d	8.000000	11.000000	800.000000
TN1	as   a	d	4.000000	7.000000	800.000000
TN1	12   a	v	5.000000	5.000000	125.000000
TN2	123   a	c	5.000000	7.000000	575.000000
TN1	a   a	c	8.000000	10.000000	575.000000
TN1	123   a	d	8.000000	14.000000	1475.000000
TN1	1234   c	b	9.000000	14.000000	1250.000000
TN2	12345   a	d	5.000000	6.000000	350.000000
TN1	bhoo_1   c	b	8.000000	13.000000	1250.000000
TN2	zxc   a	d	7.000000	8.000000	350.000000
TN1	kee   a	c	6.000000	9.000000	800.000000
TN2	bhoo   a	b	7.000000	9.000000	575.000000
TN1	a   a	c	5.000000	8.000000	800.000000
TN1	keerthi   a	h	8.000000	33.000000	5750.000000
TN1	k   a	h	8.000000	33.000000	5750.000000
TN1	12   b	h	4.000000	26.000000	5075.000000
TN2	123   b	g	8.000000	32.000000	5525.000000
TN1	bjo   f	g	7.000000	13.000000	1475.000000
TN2	vgy   a	g	9.000000	25.000000	3725.000000
TN4	qw   a	h	9.000000	34.000000	5750.000000
